fold,target,eval_result,perm_p_value,perm_observed_accuracy,perm_null_mean_accuracy
3,binary,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_random_forest_binary_11x11.png,0.249500998003992,0.5800000000000001,0.49729333333333336
3,tri,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_random_forest_tri_11x11.png,0.6666666666666666,0.30666666666666664,0.3521733333333334
3,quad,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_random_forest_quad_11x11.png,0.28542914171656686,0.37333333333333335,0.30344000000000004
3,penta,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_random_forest_penta_11x11.png,0.28542914171656686,0.3,0.23774666666666666
4,binary,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_random_forest_binary_11x11.png,0.5808383233532934,0.4666666666666667,0.49585333333333337
4,tri,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_random_forest_tri_11x11.png,0.874251497005988,0.22666666666666666,0.3491733333333333
4,quad,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_random_forest_quad_11x11.png,0.36926147704590817,0.3466666666666666,0.3104799999999999
4,penta,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_random_forest_penta_11x11.png,0.34331337325349304,0.2733333333333333,0.23174666666666666
5,binary,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_random_forest_binary_11x11.png,0.32934131736526945,0.5466666666666666,0.5000666666666668
5,tri,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_random_forest_tri_11x11.png,0.7664670658682635,0.2666666666666667,0.3460266666666666
5,quad,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_random_forest_quad_11x11.png,0.5489021956087824,0.29999999999999993,0.30698666666666663
5,penta,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_random_forest_penta_11x11.png,0.9740518962075848,0.08,0.23402666666666666
