fold,target,eval_result,perm_p_value,perm_observed_accuracy,perm_null_mean_accuracy
3,binary,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_multinomial_binary.png,0.029940119760479042,0.7266666666666667,0.5073466666666667
3,tri,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_multinomial_tri.png,0.26746506986027946,0.4133333333333333,0.34217333333333333
3,quad,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_multinomial_quad.png,0.4550898203592814,0.30666666666666664,0.2932133333333334
3,penta,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_multinomial_penta.png,0.05588822355289421,0.38,0.2210933333333333
4,binary,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_multinomial_binary.png,0.2954091816367265,0.5733333333333333,0.4998933333333333
4,tri,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_multinomial_tri.png,0.0998003992015968,0.49333333333333335,0.34596000000000005
4,quad,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_multinomial_quad.png,0.06986027944111776,0.4533333333333333,0.296
4,penta,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_multinomial_penta.png,0.2215568862275449,0.29333333333333333,0.22314666666666672
5,binary,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_multinomial_binary.png,0.08782435129740519,0.6533333333333333,0.49328
5,tri,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_multinomial_tri.png,0.011976047904191617,0.5866666666666667,0.34307999999999994
5,quad,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_multinomial_quad.png,0.08982035928143713,0.4333333333333333,0.29408
5,penta,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_multinomial_penta.png,0.2654690618762475,0.2733333333333333,0.21802666666666665
