fold,target,eval_result,perm_p_value,perm_observed_accuracy,perm_null_mean_accuracy
3,binary,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_multinomial_binary_11x11.png,0.3253493013972056,0.5733333333333334,0.5085999999999999
3,tri,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_multinomial_tri_11x11.png,0.7584830339321357,0.2733333333333333,0.3527733333333334
3,quad,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_multinomial_quad_11x11.png,0.6506986027944112,0.2666666666666667,0.3082
3,penta,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_multinomial_penta_11x11.png,0.12574850299401197,0.3466666666666667,0.2358133333333333
4,binary,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_multinomial_binary_11x11.png,0.4431137724550898,0.5133333333333334,0.49992000000000003
4,tri,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_multinomial_tri_11x11.png,0.9221556886227545,0.22666666666666666,0.3630666666666667
4,quad,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_multinomial_quad_11x11.png,0.06187624750499002,0.4666666666666667,0.3033066666666666
4,penta,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_multinomial_penta_11x11.png,0.19161676646706588,0.3066666666666667,0.22649333333333332
5,binary,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_multinomial_binary_11x11.png,0.4311377245508982,0.5066666666666667,0.49824
5,tri,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_multinomial_tri_11x11.png,0.656686626746507,0.3133333333333333,0.35903999999999997
5,quad,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_multinomial_quad_11x11.png,0.47904191616766467,0.31333333333333335,0.3130266666666666
5,penta,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_multinomial_penta_11x11.png,0.15568862275449102,0.33999999999999997,0.22882666666666668
