fold,target,eval_result,perm_p_value,perm_observed_accuracy,perm_null_mean_accuracy
3,binary,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_random_forest_binary.png,0.3592814371257485,0.5466666666666666,0.5083066666666667
3,tri,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_random_forest_tri.png,0.36327345309381237,0.3866666666666666,0.3397733333333333
3,quad,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_random_forest_quad.png,0.2834331337325349,0.35333333333333333,0.29356
3,penta,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/3_grouped_metrics_random_forest_penta.png,0.17964071856287425,0.3133333333333333,0.2254533333333333
4,binary,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_random_forest_binary.png,0.1277445109780439,0.6266666666666667,0.49544
4,tri,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_random_forest_tri.png,0.25748502994011974,0.42666666666666664,0.35242666666666667
4,quad,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_random_forest_quad.png,0.2934131736526946,0.3466666666666667,0.29445333333333334
4,penta,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/4_grouped_metrics_random_forest_penta.png,0.3473053892215569,0.26666666666666666,0.22369333333333327
5,binary,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_random_forest_binary.png,0.09580838323353294,0.6599999999999999,0.49638666666666664
5,tri,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_random_forest_tri.png,0.033932135728542916,0.5466666666666666,0.3415866666666667
5,quad,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_random_forest_quad.png,0.1217564870259481,0.42000000000000004,0.3002266666666666
5,penta,/Users/ricobenning/Python_C_ML/Translational Neuromodeling/Project/Project_8/Classification_and_Regression_DCM/figures/5_grouped_metrics_random_forest_penta.png,0.09780439121756487,0.3466666666666667,0.22566666666666665
